no_district_assigned	CD_1	CD_2	CD_3	CD_4	CD_5	CD_6	CD_7	CD_8	CD_9	CD_10
98154	98004	98012	98304	98802	83856	98110	98020	98001	98001	98303
98164	98011	98021	98336	98812	98832	98305	98026	98002	98003	98327
98174	98012	98026	98355	98813	99001	98310	98070	98003	98004	98338
98330	98014	98036	98356	98814	99003	98311	98101	98010	98005	98371
98558	98019	98037	98361	98816	99004	98312	98102	98022	98006	98372
	98021	98043	98377	98819	99005	98314	98103	98024	98007	98373
	98024	98087	98527	98823	99006	98315	98104	98025	98008	98374
	98028	98201	98530	98824	99008	98320	98105	98027	98023	98375
	98033	98203	98531	98827	99009	98325	98106	98029	98027	98387
	98034	98204	98532	98829	99011	98326	98107	98030	98030	98388
	98039	98207	98533	98830	99012	98329	98108	98032	98031	98390
	98045	98208	98537	98832	99013	98331	98109	98038	98032	98404
	98052	98221	98538	98833	99014	98332	98112	98042	98040	98424
	98053	98222	98539	98834	99016	98333	98115	98045	98055	98430
	98065	98223	98542	98837	99017	98335	98116	98047	98056	98433
	98068	98225	98544	98840	99018	98337	98117	98050	98057	98438
	98072	98226	98547	98841	99019	98339	98119	98051	98058	98439
	98077	98229	98564	98843	99020	98340	98121	98058	98059	98443
	98201	98232	98565	98844	99021	98342	98125	98059	98108	98444
	98208	98233	98568	98845	99022	98345	98126	98065	98118	98445
	98220	98236	98570	98846	99023	98346	98133	98068	98122	98446
	98223	98238	98572	98848	99025	98349	98134	98074	98144	98447
	98224	98239	98576	98849	99026	98350	98136	98075	98148	98466
	98225	98243	98577	98850	99027	98351	98146	98092	98158	98467
	98226	98245	98579	98851	99029	98353	98148	98304	98168	98498
	98230	98249	98581	98853	99030	98357	98155	98321	98178	98499
	98233	98250	98582	98855	99031	98358	98166	98323	98188	98501
	98235	98253	98585	98856	99032	98359	98168	98328	98198	98502
	98237	98257	98586	98857	99033	98362	98177	98338	98421	98503
	98240	98258	98589	98858	99034	98363	98195	98354	98422	98505
	98241	98260	98590	98859	99036	98364	98199	98360		98506
	98244	98261	98591	98860	99037	98365		98372		98512
	98247	98270	98593	98862	99039	98366		98374		98513
	98248	98271	98596	98901	99040	98367		98385		98516
	98251	98273	98597	98902	99101	98368		98387		98556
	98252	98274	98601	98903	99102	98370		98390		98576
	98255	98275	98602	98908	99103	98376		98391		98579
	98256	98277	98603	98921	99109	98380		98396		98580
	98258	98278	98604	98923	99110	98381		98580		98584
	98262	98279	98605	98930	99111	98382		98801		98589
	98263	98280	98606	98932	99113	98383		98802		98597
	98264	98282	98607	98933	99114	98392		98811		
	98266	98284	98609	98935	99117	98394		98815		
	98267	98286	98610	98936	99118	98402		98816		
	98272	98292	98611	98937	99119	98403		98817		
	98273	98297	98612	98938	99121	98405		98821		
	98274		98613	98939	99122	98406		98822		
	98276		98614	98942	99125	98407		98826		
	98281		98616	98944	99126	98408		98828		
	98283		98617	98947	99128	98409		98831		
	98284		98619	98948	99129	98416		98836		
	98288		98620	98951	99130	98418		98846		
	98290		98621	98952	99131	98465		98847		
	98294		98623	98953	99133	98520		98852		
	98295		98624	99032	99134	98524		98901		
	98296		98625	99103	99136	98526		98922		
			98626	99105	99137	98528		98925		
			98628	99115	99138	98535		98926		
			98629	99116	99139	98536		98934		
			98631	99123	99140	98537		98940		
			98632	99124	99141	98541		98941		
			98635	99133	99143	98546		98943		
			98638	99135	99144	98547		98946		
			98639	99155	99146	98548		98950		
			98640	99159	99147	98550				
			98641	99166	99148	98552				
			98642	99169	99149	98555				
			98643	99301	99150	98557				
			98644	99320	99151	98559				
			98645	99321	99152	98560				
			98647	99323	99153	98562				
			98648	99326	99154	98563				
			98649	99330	99156	98566				
			98650	99333	99157	98568				
			98651	99335	99158	98569				
			98660	99336	99159	98571				
			98661	99337	99160	98575				
			98662	99338	99161	98583				
			98663	99341	99163	98584				
			98664	99343	99166	98587				
			98665	99344	99167	98588				
			98670	99345	99169	98592				
			98671	99346	99170	98595				
			98672	99348	99171					
			98673	99349	99173					
			98674	99350	99174					
			98675	99352	99176					
			98682	99353	99179					
			98683	99354	99180					
			98684	99357	99181					
			98685	99360	99185					
			98686	99362	99201					
			99322	99363	99202					
			99350	99371	99203					
			99356		99204					
					99205					
					99206					
					99207					
					99208					
					99212					
					99216					
					99217					
					99218					
					99223					
					99224					
					99251					
					99258					
					99324					
					99328					
					99329					
					99333					
					99347					
					99348					
					99359					
					99360					
					99361					
					99362					
					99401					
					99402					
					99403					
