no_district_assigned	LD_1	LD_2	LD_3	LD_4	LD_5	LD_6	LD_7	LD_8	LD_9	LD_10	LD_11	LD_12	LD_13	LD_14	LD_15	LD_16	LD_17	LD_18	LD_19	LD_20	LD_21	LD_22	LD_23	LD_24	LD_25	LD_26	LD_27	LD_28	LD_29	LD_30	LD_31	LD_32	LD_33	LD_34	LD_35	LD_36	LD_37	LD_38	LD_39	LD_40	LD_41	LD_42	LD_43	LD_44	LD_45	LD_46	LD_47	LD_48	LD_49
98101	98011	98304	99201	99003	98010	99001	83856	98944	98832	98221	98055	98801	98068	98602	98901	98930	98604	98601	98520	98304	98012	98501	98110	98305	98371	98312	98402	98303	98387	98001	98002	98020	98030	98070	98312	98103	98056	98201	98045	98220	98004	98220	98102	98012	98014	98028	98001	98004	98660
98154	98012	98323	99202	99005	98014	99004	98819	99320	98857	98223	98056	98802	98823	98605	98902	98944	98606	98604	98527	98336	98020	98502	98310	98320	98372	98314	98403	98327	98408	98003	98022	98026	98031	98106	98367	98107	98057	98203	98068	98221	98005	98225	98103	98201	98019	98103	98002	98005	98661
98164	98021	98328	99203	99009	98019	99008	98827	99336	99004	98232	98057	98811	98824	98607	98903	99301	98642	98606	98532	98355	98026	98503	98311	98325	98373	98329	98404	98338	98409	98023	98045	98036	98032	98116	98380	98109	98104	98204	98223	98222	98006	98226	98105	98208	98033	98105	98010	98007	98662
98174	98034	98338	99204	99016	98022	99011	98840	99337	99012	98233	98058	98812	98828	98610	98908	99320	98662	98607	98537	98356	98037	98505	98315	98326	98374	98332	98405	98387	98444	98047	98051	98037	98055	98126	98383	98117	98108	98207	98224	98225	98027	98230	98112	98258	98034	98115	98030	98008	98663
98195	98036	98360	99205	99019	98024	99014	98841	99338	99016	98236	98059	98813	98832	98613	98921	99323	98682	98629	98538	98361	98087	98506	98340	98331	98375	98333	98406	98388	98445	98198	98092	98043	98148	98134	98501	98119	98118	98208	98235	98226	98029	98237	98115	98270	98052	98125	98031	98033	98664
98330	98043	98374	99207	99021	98025	99020	98844	99352	99017	98238	98108	98814	98837	98616	98930	99324	98683	98642	98541	98377	98204	98512	98342	98339	98404	98335	98407	98406	98446	98354	98304	98133	98158	98136	98502	98121	98122	98223	98237	98229	98040	98240	98122	98290	98053	98133	98042	98039	98665
98559	98072	98375	99217	99025	98027	99022	98849	99353	99018	98239	98134	98815	98848	98617	98932	99328	98684	98660	98547	98501	98208	98513	98345	98350	98424	98337	98409	98430	98447		98321	98155	98166	98146	98512	98177	98134	98270	98241	98232	98056	98244		98296	98072	98155	98058	98052	98685
98583	98077	98387	99223	99027	98029	99023	98855	99354	99019	98249	98168	98816	98851	98619	98935	99329	98686	98671	98550	98512	98275	98516	98346	98357	98443	98349	98416	98433	98499		98323	98177	98168	98166	98524	98199	98144	98271	98251	98233	98059	98247			98074		98092		98686
99251	98296	98503	99258	99037	98038	99026	98856		99023	98253	98188	98817	98853	98620	98936	99337		98675	98563	98513			98364	98358	98445	98351	98418	98438			98360		98188		98528		98178		98252	98243	98074	98248			98077				
		98513		99206	98045	99029	98859		99030	98257		98821	98857	98623	98937	99338		98682	98568	98530			98370	98362	98446	98353	98421	98439			98371		98198		98541				98255	98245	98075	98262							
		98558		99212	98050	99031	98862		99031	98260		98822	98860	98628	98938	99345		98683	98572	98531			98383	98363		98359	98422	98465			98372				98546				98256	98250		98264							
		98576		99216	98051	99036	99003		99032	98273		98823	98901	98635	98942	99346		98684	98577	98532			98392	98365		98366		98466			98374				98548				98258	98261		98266							
		98580		99217	98053	99203	99005		99033	98274		98826	98922	98639	98944	99347		98685	98581	98533				98368		98367		98467			98385				98555				98263	98273		98276							
		98597			98058	99205	99006		99036	98277		98828	98925	98648	98948	99348			98586	98539				98376		98394		98498			98390				98556				98267	98279		98281							
					98059	99206	99009		99039	98278		98829	98926	98650	98951	99350			98590	98542				98381				98499			98391				98560				98270	98280		98283							
					98065	99208	99013		99102	98282		98830	98934	98651	98953	99352			98593	98544				98382				98580			98396				98563				98271	98284		98295							
					98068	99218	99021		99105	98292		98831	98940	98670	99350	99359			98595	98564				98520											98579				98272	98286									
					98224	99223	99022		99111			98833	98941	98671		99360			98596	98565				98526											98584				98273	98297									
					98288	99224	99026		99113			98834	98942	98672		99361			98611	98568				98535											98588				98274										
							99029		99125			98836	98943	98673		99362			98612	98570				98536											98589				98283										
							99034		99128			98840	98946	98675		99363			98614	98572				98541											98592				98284										
							99040		99130			98841	98950	98901					98621	98576				98550															98288										
							99101		99136			98843	99008	98902					98624	98579				98552															98290										
							99109		99143			98845	99013	98903					98626	98582				98557															98294										
							99110		99149			98846	99029	98908					98631	98585				98562																									
							99114		99158			98847	99032	98923					98632	98589				98563																									
							99118		99159			98848	99103	98933					98638	98591				98566																									
							99119		99161			98849	99115	98937					98640	98593				98568																									
							99121		99163			98850	99117	98939					98641	98596				98569																									
							99122		99169			98851	99122	98942					98643	98597				98571																									
							99126		99170			98852	99133	98947					98644	98601				98575																									
							99129		99171			98856	99134	98948					98647	98603				98587																									
							99131		99174			98858	99135	98951						98604																													
							99137		99176			98862	99144	98952						98609																													
							99138		99179			99103	99147	99322						98611																													
							99139		99224			99115	99154	99350						98616																													
							99140		99301			99116	99159	99356						98625																													
							99141		99326			99123	99169							98626																													
							99146		99330			99124	99185							98629																													
							99148		99333			99133	99321							98632																													
							99150		99335			99135	99344							98645																													
							99151		99341			99155	99349							98649																													
							99152		99343				99357							98674																													
							99153		99344											98675																													
							99156		99347																																								
							99157		99371																																								
							99160		99401																																								
							99166		99402																																								
							99167		99403																																								
							99173																																										
							99180																																										
							99181																																										
							99208																																										
							99217																																										
							99218																																										
							99224																																										
