no_district_assigned	CD_1	CD_2	CD_3	CD_4	CD_5	CD_6	CD_7	CD_8	CD_9	CD_10
98154	98004	98020	98304	98602	83856	98110	98070	98002	98001	98047
98164	98005	98026	98336	98605	98832	98305	98101	98006	98002	98092
98174	98007	98036	98355	98613	98857	98310	98102	98010	98003	98303
98330	98008	98037	98356	98617	99001	98311	98103	98014	98004	98327
98558	98011	98087	98361	98619	99003	98312	98104	98019	98005	98371
	98012	98201	98377	98620	99004	98314	98105	98022	98006	98372
	98021	98203	98527	98623	99005	98315	98106	98024	98007	98373
	98028	98204	98530	98628	99006	98320	98107	98025	98008	98374
	98033	98207	98531	98635	99008	98325	98108	98027	98023	98375
	98034	98208	98532	98650	99009	98326	98109	98029	98030	98387
	98036	98220	98533	98670	99011	98329	98112	98038	98031	98388
	98037	98221	98537	98672	99012	98331	98115	98042	98032	98390
	98039	98222	98538	98673	99013	98332	98116	98045	98040	98404
	98043	98223	98539	98802	99014	98333	98117	98050	98047	98408
	98052	98225	98542	98812	99016	98335	98119	98051	98055	98418
	98072	98226	98544	98813	99017	98337	98121	98052	98056	98430
	98077	98229	98547	98814	99018	98339	98122	98053	98057	98433
	98087	98230	98564	98816	99019	98340	98125	98058	98058	98438
	98201	98232	98565	98819	99020	98342	98126	98059	98059	98439
	98208	98233	98568	98823	99021	98345	98133	98065	98092	98443
	98223	98235	98570	98824	99022	98346	98134	98068	98108	98444
	98258	98236	98572	98827	99023	98349	98136	98072	98118	98445
	98270	98237	98576	98829	99025	98350	98146	98074	98122	98446
	98271	98238	98577	98830	99026	98351	98148	98075	98144	98447
	98272	98239	98579	98832	99027	98353	98155	98077	98148	98466
	98290	98240	98581	98833	99029	98354	98166	98092	98158	98467
	98296	98241	98582	98834	99030	98357	98168	98223	98168	98498
		98243	98585	98837	99031	98358	98177	98224	98178	98499
		98244	98586	98840	99032	98359	98195	98241	98188	98501
		98245	98589	98841	99033	98362	98199	98251	98198	98502
		98247	98590	98843	99034	98363		98252		98503
		98248	98591	98844	99036	98364		98256		98505
		98249	98593	98845	99037	98365		98258		98506
		98250	98596	98846	99039	98366		98272		98512
		98253	98597	98848	99040	98367		98288		98513
		98255	98601	98849	99101	98368		98290		98516
		98257	98603	98850	99102	98370		98292		98556
		98260	98604	98851	99103	98376		98294		98576
		98261	98605	98853	99105	98380		98304		98579
		98262	98606	98855	99109	98381		98321		98580
		98263	98607	98856	99110	98382		98323		98589
		98264	98609	98857	99111	98383		98328		98597
		98266	98610	98858	99113	98392		98338		
		98267	98611	98859	99114	98394		98360		
		98271	98612	98860	99117	98402		98372		
		98273	98614	98862	99118	98403		98374		
		98274	98616	98901	99119	98405		98385		
		98275	98621	98902	99121	98406		98387		
		98276	98624	98903	99122	98407		98390		
		98277	98625	98908	99125	98409		98391		
		98278	98626	98921	99126	98416		98396		
		98279	98629	98923	99128	98418		98580		
		98280	98631	98930	99129	98421		98801		
		98281	98632	98932	99130	98422		98811		
		98282	98638	98933	99131	98424		98815		
		98283	98639	98935	99133	98465		98816		
		98284	98640	98936	99134	98502		98817		
		98286	98641	98937	99136	98520		98821		
		98292	98642	98938	99137	98524		98822		
		98295	98643	98939	99138	98526		98826		
		98297	98644	98942	99139	98528		98828		
			98645	98944	99140	98535		98831		
			98647	98947	99141	98536		98836		
			98648	98948	99143	98537		98846		
			98649	98951	99144	98541		98847		
			98651	98952	99146	98546		98852		
			98660	98953	99147	98547		98901		
			98661	99103	99148	98548		98922		
			98662	99115	99149	98550		98925		
			98663	99116	99150	98552		98926		
			98664	99123	99151	98555		98934		
			98665	99124	99152	98557		98940		
			98671	99133	99153	98559		98941		
			98672	99135	99154	98560		98943		
			98674	99155	99156	98562		98946		
			98675	99166	99157	98563		98950		
			98682	99301	99158	98566				
			98683	99320	99159	98568				
			98684	99321	99160	98569				
			98685	99322	99161	98571				
			98686	99336	99163	98575				
				99337	99166	98583				
				99338	99167	98584				
				99344	99169	98587				
				99345	99170	98588				
				99346	99171	98592				
				99349	99173	98595				
				99350	99174					
				99352	99176					
				99353	99179					
				99354	99180					
				99356	99181					
				99357	99185					
					99201					
					99202					
					99203					
					99204					
					99205					
					99206					
					99207					
					99208					
					99212					
					99216					
					99217					
					99218					
					99223					
					99224					
					99251					
					99258					
					99301					
					99323					
					99324					
					99326					
					99328					
					99329					
					99330					
					99333					
					99335					
					99341					
					99343					
					99344					
					99347					
					99348					
					99359					
					99360					
					99361					
					99362					
					99363					
					99371					
					99401					
					99402					
					99403					
