no_district_assigned	LD_1	LD_2	LD_3	LD_4	LD_5	LD_6	LD_7	LD_8	LD_9	LD_10	LD_11	LD_12	LD_13	LD_14	LD_15	LD_16	LD_17	LD_18	LD_19	LD_20	LD_21	LD_22	LD_23	LD_24	LD_25	LD_26	LD_27	LD_28	LD_29	LD_30	LD_31	LD_32	LD_33	LD_34	LD_35	LD_36	LD_37	LD_38	LD_39	LD_40	LD_41	LD_42	LD_43	LD_44	LD_45	LD_46	LD_47	LD_48	LD_49
98121	98011	98304	99201	99003	98006	99001	83856	99301	98832	98221	98031	98014	98068	98602	98901	98930	98604	98604	98520	98304	98020	98501	98110	98305	98360	98312	98402	98303	98387	98001	98002	98020	98030	98070	98312	98107	98108	98201	98201	98220	98004	98220	98101	98012	98014	98103	98001	98004	98660
98154	98012	98323	99202	99005	98010	99003	98802	99336	98857	98223	98055	98019	98823	98605	98902	99301	98605	98606	98527	98336	98026	98502	98310	98320	98371	98314	98403	98327	98404	98002	98022	98026	98031	98104	98367	98109	98118	98203	98223	98221	98005	98225	98102	98021	98019	98105	98002	98005	98661
98164	98021	98328	99203	99009	98022	99004	98812	99337	99004	98236	98056	98024	98824	98613	98903	99320	98606	98642	98531	98355	98037	98503	98311	98325	98372	98329	98405	98387	98408	98003	98045	98036	98032	98106	98380	98117	98122	98204	98229	98222	98006	98226	98103	98072	98033	98115	98030	98007	98662
98174	98028	98338	99204	99016	98024	99005	98813	99338	99008	98238	98057	98045	98828	98617	98921	99323	98607	98662	98532	98356	98087	98505	98312	98326	98373	98332	98406	98388	98409	98023	98047	98037	98148	98108	98383	98119	98144	98207	98233	98225	98007	98230	98105	98208	98034	98125	98031	98008	98663
98330	98034	98360	99205	99019	98025	99006	98814	99352	99012	98239	98058	98065	98832	98619	98930	99324	98610	98665	98537	98361	98203	98506	98315	98331	98374	98333	98407	98430	98444	98047	98092	98043	98158	98116	98501	98177	98178	98208	98235	98226	98008	98237	98109	98258	98052	98133	98038	98033	98664
98544	98036	98374	99207	99021	98027	99011	98816	99354	99013	98249	98059	98068	98837	98620	98932	99329	98616	98682	98538	98377	98204	98512	98340	98339	98375	98335	98409	98433	98445	98198	98304	98133	98166	98126	98502	98199		98270	98237	98229	98027	98240	98112	98272	98053		98042	98039	98665
98565	98072	98387	99208	99025	98029	99013	98819		99016	98253	98168	98224	98848	98623	98935	99336	98639	98685	98539	98530	98208	98516	98342	98350	98443	98337	98416	98438	98447		98321	98155	98168	98134	98512			98271	98241	98232	98029	98244	98122	98290	98072		98058	98052	98682
98583	98077	98445	99223	99027	98038	99014	98823		99017	98257	98188	98251	98851	98628	98936	99337	98648	98686	98541	98531	98275		98345	98357	98445	98349	98418	98439	98499		98323	98177	98188	98136	98513				98251	98233	98040	98247	98195	98296	98074		98092		98684
99020	98155	98446	99224	99037	98042	99021	98827		99018	98260		98256	98857	98635	98938	99338	98651		98547	98532			98346	98358	98446	98351	98421	98466			98354		98198	98146	98524				98252	98243	98056	98248			98077				
	98296	98503	99258	99156	98045	99022	98829		99019	98271		98272	98901	98650	98944	99345	98671		98550	98533			98364	98362		98353	98422	98467			98360			98168	98528				98255	98245	98059	98262							
		98513		99206	98050	99026	98830		99022	98273		98288	98908	98670	98951	99346	98672		98557	98542			98370	98363		98359	98424	98498			98371				98541				98258	98250	98074	98264							
		98558		99212	98051	99029	98832		99023	98277		98290	98922	98672	98953	99348	98675		98559	98564			98383	98365		98366	98465	98499			98372				98546				98263	98261	98075	98266							
		98576		99216	98058	99205	98833		99029	98278		98294	98923	98673	99301	99350	98682		98563	98570			98392	98368		98367		98580			98374				98548				98267	98273		98276							
		98580		99217	98059	99207	98834		99030	98282		98801	98925	98901	99320	99352	98683		98568	98576				98376		98394					98385				98555				98270	98274		98281							
		98597			98065	99208	98837		99031	98292		98802	98926	98902	99330	99353	98684		98572	98579				98381							98390				98556				98271	98279		98283							
					98068	99217	98840		99032			98811	98934	98903	99343	99360			98577	98582				98382							98391				98560				98272	98280		98295							
					98092	99218	98841		99033			98815	98936	98908	99344	99361			98579	98585				98520							98396				98563				98273	98284									
						99224	98843		99036			98816	98937	98923	99349	99362			98581	98589				98526											98576				98274	98286									
						99251	98844		99037			98817	98940	98932	99350	99363			98586	98591				98535											98579				98283	98297									
							98845		99039			98821	98941	98933	99354				98590	98596				98536											98584				98284										
							98846		99102			98822	98942	98935					98591	98597				98541											98588				98290										
							98848		99103			98826	98943	98937					98593	98601				98550											98589				98292										
							98849		99105			98828	98946	98939					98595	98603				98552											98592				98294										
							98850		99111			98831	98947	98942					98596	98604				98562																									
							98851		99113			98836	98950	98948					98611	98609				98563																									
							98853		99117			98846	99321	98951					98612	98611				98566																									
							98855		99122			98847	99344	98952					98614	98616				98569																									
							98856		99125			98852	99349	99322					98621	98625				98571																									
							98858		99128				99357	99350					98624	98626				98575																									
							98859		99130					99356					98626	98629				98587																									
							98860		99133										98631	98632																													
							98862		99134										98632	98642																													
							99006		99136										98638	98645																													
							99009		99143										98640	98649																													
							99013		99144										98641	98660																													
							99026		99147										98643	98674																													
							99034		99149										98644	98675																													
							99040		99154										98647	98685																													
							99101		99158																																								
							99103		99159																																								
							99109		99161																																								
							99110		99163																																								
							99114		99169																																								
							99115		99170																																								
							99116		99171																																								
							99118		99174																																								
							99119		99176																																								
							99121		99179																																								
							99122		99185																																								
							99123		99206																																								
							99124		99212																																								
							99126		99223																																								
							99129		99224																																								
							99131		99301																																								
							99133		99326																																								
							99135		99328																																								
							99137		99330																																								
							99138		99333																																								
							99139		99335																																								
							99140		99341																																								
							99141		99343																																								
							99146		99344																																								
							99148		99347																																								
							99150		99348																																								
							99151		99359																																								
							99152		99361																																								
							99153		99371																																								
							99155		99401																																								
							99156		99402																																								
							99157		99403																																								
							99160																																										
							99166																																										
							99167																																										
							99173																																										
							99180																																										
							99181																																										
